<<<<<<< HEAD
1699,,,,,,,,,,,,,ALOX15,,,,,,,,,,,
1700,,,,,,,,,,,,,TBCA,,,,,,,,,,,
1701,,,,,,,,,,,,,RHOH,,,,,,,,,,,
1702,,,,,,,,,,,,,CDK18,,,,,,,,,,,
1703,,,,,,,,,,,,,TM4SF1,,,,,,,,,,,
1704,,,,,,,,,,,,,TPRN,,,,,,,,,,,
1705,,,,,,,,,,,,,CD27,,,,,,,,,,,
1706,,,,,,,,,,,,,MT1E,,,,,,,,,,,
1707,,,,,,,,,,,,,CASZ1,,,,,,,,,,,
1708,,,,,,,,,,,,,CD79A,,,,,,,,,,,
1709,,,,,,,,,,,,,AC009133.1,,,,,,,,,,,
1710,,,,,,,,,,,,,AC093297.2,,,,,,,,,,,
1711,,,,,,,,,,,,,GNLY,,,,,,,,,,,
1712,,,,,,,,,,,,,CENPW,,,,,,,,,,,
1713,,,,,,,,,,,,,S1PR3,,,,,,,,,,,
1714,,,,,,,,,,,,,THUMPD3-AS1,,,,,,,,,,,
1715,,,,,,,,,,,,,FUT8,,,,,,,,,,,
1716,,,,,,,,,,,,,RBFA,,,,,,,,,,,
1717,,,,,,,,,,,,,SPOCK2,,,,,,,,,,,
1718,,,,,,,,,,,,,MORF4L2,,,,,,,,,,,
1719,,,,,,,,,,,,,GRHL2,,,,,,,,,,,
1720,,,,,,,,,,,,,ACKR1,,,,,,,,,,,
1721,,,,,,,,,,,,,SMIM34B,,,,,,,,,,,
1722,,,,,,,,,,,,,KCTD3,,,,,,,,,,,
1723,,,,,,,,,,,,,ZNF687,,,,,,,,,,,
1724,,,,,,,,,,,,,SNHG8,,,,,,,,,,,
1725,,,,,,,,,,,,,VEGFA,,,,,,,,,,,
1726,,,,,,,,,,,,,GPX3,,,,,,,,,,,
=======
,DLPFC07,DLPFC08,DLPFC09,DLPFC10,DLPFC69,DLPFC70,DLPFC71,DLPFC72,151673,DLPFC74,DLPFC75,DLPFC76,Breastcancer,Mousebrain,PDAC,Stereo_intersetion,Stereo,SeqFish,STARmap,ST_Hippocampus_1_intersection,ST_Hippocampus_2_intersection,Stereo_mouse_brain_later,SlideV2_mouse_embryo_E8.5,ST_Hippocampus_2
0,PRKCG,MAPK1,FNDC4,RASGRF2,IPCEF1,MAPK1,CD74,MAPK1,PRKCG,FNDC4,FNDC4,PCSK2,TNRC18,Nrsn2,UQCC1,RPS3[hs] | AMEX60DDU001001251,LOC115073171[nr]|RHOU[hs] | AMEX60DD024557,Rhoj,Cldn10,Enpp2,Enpp2,Gm19951,ENSMUSG00000026728,Foxp1
1,IPCEF1,ACOT7,PRKCG,IGKC,ACOT7,IPCEF1,IPCEF1,PCSK2,IPCEF1,CD74,LDLRAD4,PRKCG,C6orf141,Pnmal2,GPT2,CCK | AMEX60DD022038,AMEX60DD031794,Alx1,Pcdhb2,Camk2n1,Camk2n1,Clu,ENSMUSG00000067367,Tmbim1
2,ACOT7,NCOR1,ACOT7,NELL2,YPEL3,RAB15,PCSK2,IPCEF1,SPARCL1,PRKCG,IPCEF1,IPCEF1,HBS1L,Lypd1,TIMP3,NELL2 | AMEX60DD006361,GPX3 | AMEX60DD030117,Fzd2,Enpp2,Gaa,Ttr,Ckb,ENSMUSG00000052187,Fgf13
3,NCOR1,COX17,ANXA7,KRT8,SNAP91,SNAP91,ACOT7,MAP1LC3A,RASGRF2,IPCEF1,ACOT7,ACOT7,PMAIP1,Enpp2,KPNB1,IFI35 | AMEX60DD009811,SPOCK2 | AMEX60DD051666,F2rl2,Gucy1b3,Gap43,Camk2a,Il31ra,ENSMUSG00000020098,Six3
4,SNAP91,IGKC,GMFB,PAK1,SPARCL1,SPARCL1,GCC2,SNAP91,CAMKK1,PCSK2,SPARCL1,RAB15,FAM234B,Bin1,CFTR,RPL30 | AMEX60DD040171,AMEX60DD051593,Nebl,Car10,Ttr,Apoe,Rps24,ENSMUSG00000040666,Gal
5,RASGRF2,GABARAPL1,IGKC,NRGN,IGKC,IGKC,SCRT1,SPARCL1,ELOVL1,MLPH,RASGRF2,SPARCL1,ALDOC,Myl12b,COL12A1,AMEX60DD022072,AMEX60DD030273,Dkk1,Snurf,Cnih2,Cst3,AY036118,ENSMUSG00000021953,Fkbp1a
6,IGKC,NELL2,KRT8,SPP1,PDE1A,TUSC3,SNAP91,GMFB,IGKC,SPARCL1,CAMKK1,RASGRF2,CRB3,1110008P14Rik,TGM2,CHRM4 | AMEX60DD005267,ST6GALNAC2 | AMEX60DD030791,Acvr1,Camk2n1,Camk2a,Apod,Rpl36a,ENSMUSG00000041616,Litaf
7,NELL2,KRT8,PAK1,NNAT,NELL2,PDE1A,SPARCL1,IGKC,GABARAPL1,RASGRF2,ELOVL1,ELOVL1,SULF1,Camk2n1,PNLIPRP1,RPS17 | AMEX60DD003832,FAM107A | AMEX60DD023851,Ccng1,1110008P14Rik,Apoe,Snap25,Uba52,ENSMUSG00000026688,Dnm1
8,KRT8,NRGN,NRGN,FKBP1A,KRT8,NELL2,HBS1L,GABARAPL1,PDE1A,CAMKK1,HBS1L,RHOBTB2,RPL36A,Dlgap1,CSF1R,PENK | AMEX60DD039745,MYOF | AMEX60DD052625,Pou3f1,Hsd3b7,Cst3,Pcp4,Mt1,ENSMUSG00000027562,E130012A19Rik
9,PAK1,TOMM22,SPP1,SPOCK1,NRGN,KRT8,IGKC,PDE1A,CALB1,ELOVL1,IGKC,SIK3,PDGFB,Gaa,SPARCL1,RPL18 | AMEX60DD016566,COL3A1 | AMEX60DD055165,Pcgf2,Rab26,Apod,Syn2,Rpl37a,ENSMUSG00000055609,Peg3
10,NRGN,BEX2,SF3B6,ATP6V1H,SPP1,NRGN,EPM2AIP1,NELL2,ICAM5,IGKC,GABARAPL1,HBS1L,VPS72,Grin1,TM4SF4,ACTG1 | AMEX60DD031316,AMEX60DD044342,Vcam1,Epha4,Snap25,Resp18,Atp1a2,ENSMUSG00000040466,Rit2
11,SPP1,GNAO1,TOMM22,MYCBP2,ALDOC,SPP1,PDE1A,KLHL2,NELL2,EPM2AIP1,CALB1,IGKC,NPY1R,Tac1,SEMA4A,RPL14 | AMEX60DDU001008803,PHYPO_G00119530[nr]|RPS28[hs] | AMEX60DD014694,Gng3,Fos,Pcp4,Mbp,Rpl21,ENSMUSG00000036030,Nexn
12,TOMM22,FKBP1A,NNAT,GABRB3,BEX2,GNAO1,NELL2,KRT8,ADAM22,PDE1A,NELL2,GABARAPL1,TMEM256,Gap43,CPA1,RPS23 | AMEX60DD042493,AMEX60DDU001008168,Irx5,Dusp1,Syn2,Mog,Filip1l,ENSMUSG00000051855,Gm11549
13,BEX2,TMEM130,FKBP1A,MARCKSL1,SPOCK1,CLTC,KLHL2,PAK1,GRIN2B,CALB1,GRIN2B,CALB1,FBLN2,Tmem88b,ITM2B,MYL4 | AMEX60DD009714,LOC115090119[nr]|COX7A2L[hs] | AMEX60DD011772,Fgfr1,Gria1,Mbp,Avp,Ptgds,ENSMUSG00000032083,Gabra1
14,GNAO1,GABBR2,GNAO1,MLLT11,TSPAN7,FKBP3,KRT8,NRGN,KRT8,ICAM5,KRT8,NELL2,REPS2,Ermn,MT1H,AB205_0119900[nr]|LUM[hs] | AMEX60DD007586,SLC4A2 | AMEX60DD026202,Pdgfa,Tceal5,Avp,Pvalb,Ndufa6,ENSMUSG00000023043,Osbpl1a
15,FKBP1A,MARCKSL1,TMEM130,STRAP,LINC00844,BEX4,PAK1,ALDOC,PAK1,NELL2,PAK1,GRIN2B,ECSCR,Ptn,CTRC,LOC115097464[nr] | AMEX60DD013520,SSR3 | AMEX60DD001857,Prdm1,Mt1,Pvalb,Gabra1,Fth1,ENSMUSG00000048583,Fam131a
16,NNAT,MLLT11,CALB2,PPP1R14A,MAP6,SPOCK1,NRGN,SPP1,NRGN,LINC01106,NRGN,KRT8,GINS4,Eno1,LTBP2,RPL26 | AMEX60DD028725,SLC26A5 | AMEX60DD006403,Irx1,Mal2,Gabra1,Mobp,Apoe,ENSMUSG00000036139,Gng11
17,SPIN1,UBE2V2,VPS4B,CHGA,MLLT11,TSPAN7,NDUFA12,TOMM22,SPP1,TIMM8B,SPP1,PAK1,COL16A1,Mt1,MMP2,RPL10 | AMEX60DD025630,COL6A2 | AMEX60DD055538,Pdgfra,Rbfox3,Mobp,Pcsk1n,Rpl9,ENSMUSG00000072235,Elavl4
18,TMEM130,CHGA,SPOCK1,KIF3A,HTR2A,RAB11A,SPP1,BEX2,MFGE8,GRIN2B,SF3B6,NRGN,IRX3,Atp1a3,AMBP,CHGA | AMEX60DD011371,UNC5D | AMEX60DD002483,Ikzf1,Garnl3,Gm20594,Cck,Rps15,ENSMUSG00000043501,Ildr2
19,TSPAN7,PPP1R14A,SYT7,COL1A2,CHGA,LINC00844,BEX2,GNAO1,EHBP1,KRT8,BEX2,SPP1,LDLR,Ttr,MGAT4A,AMEX60DD017849,CPNE7 | AMEX60DD017078,Otx2,Tmem176a,Cck,Vsnl1,Rps29,ENSMUSG00000050071,Pmp22
20,GABBR2,UNC13A,LINC00844,SST,PPP1R14A,RAP1GAP2,GNAO1,FKBP1A,FKBP1A,ACSL4,FKBP1A,MFGE8,CLDN5,Lgi3,MMP7,TMSB15A | AMEX60DD037778,AMEX60DD050166,Pim2,Gria3,Tubb4a,Tubb4a,Gm42418,ENSMUSG00000067786,Nefh
21,GABRB3,TERF2IP,TMEM144,CALM1,PPP2R2B,ATP6V1H,FKBP1A,NNAT,CLTC,NTRK3,CLTC,BEX2,ADGRA2,Ndn,FURIN,GPX3 | AMEX60DD030117,C8G | AMEX60DD050932,Pcsk1n,Anxa5,Qdpr,Qdpr,Aldoc,ENSMUSG00000024990,Pnck
22,MARCKSL1,CYP46A1,SERPINF1,GAP43,CHGB,DNAJA4,CLTC,SPOCK1,TMEM130,PAK1,TMEM130,FKBP1A,C1QC,Acta2,PRSS2,RPL28 | AMEX60DD016499,DLX6 | AMEX60DD022357,Mcl1,Galntl6,Nap1l5,Nap1l5,Rps5,ENSMUSG00000037664,mt.Nd1
23,HLA-B,APBB1,MARCKSL1,STMN2,DNAJB6,PPP2CA,BEX4,TSPAN7,MVB12B,NRGN,GSK3B,CLTC,CFDP1,Itm2c,CRP,nan | AMEX60DD016339,LOC115080120[nr]|TSPAN4[hs] | AMEX60DD016267,Chrd,Laptm4b,Prkcd,Prkcd,Lars2,ENSMUSG00000005681,Sox10
24,MLLT11,KIF3A,HNRNPH1,SCGB1D2,COL1A2,GLRB,SPOCK1,LY6H,SPOCK3,SPP1,SPOCK3,TMEM130,SFN,Cnih2,VIM,AMEX60DD008749,FIBIN | AMEX60DD004961,Pcgf5,Itm2c,Ppp3r1,Arpp21,Rpl19,ENSMUSG00000000184,Gm19410
25,STRAP,COL1A2,MLLT11,PIN1,SST,MLLT11,TSPAN7,GABBR2,VPS4B,MFGE8,TSPAN7,SPOCK3,CDH5,Camk2a,LMAN1,BHMT | AMEX60DD042310,MLC1 | AMEX60DD006280,Setd1b,Camk2a,Arpp21,Plp1,Eef1a1,ENSMUSG00000019528,Htr2c
26,PPP1R14A,SST,STRAP,ETS2,CALM1,UBE2V2,LINC00844,ATP6V1H,TSPAN7,TOMM22,RASSF2,TSPAN7,ACOT13,Rgs4,SPP1,NKCC1[nr]|SLC12A2[hs] | AMEX60DD042921,DNTS_000280[nr]|SLC25A5[hs] | AMEX60DD015307,Bmp2,Rgs4,Plp1,Nsg2,Rpl31,ENSMUSG00000063632,Atp5g3
27,CHGA,CALM1,PPP1R14A,YWHAZ,AAK1,CHGA,GABBR2,MLLT11,LY6H,EPHX4,CLIC4,RASSF2,EIF4EBP1,Olig1,FGG,SNCA | AMEX60DD044083,FLI1 | AMEX60DD053600,Sox4,Apoe,Cnp,Cnp,Cox4i1,ENSMUSG00000038227,Tmem158
28,LMO3,GAP43,CHGA,FAM19A5,GAP43,PPP1R14A,MLLT11,HTR2A,RASSF2,BEX2,LINC00844,SYT7,EPS8L2,Gng3,FGA,D4764_08G0001950[nr] | AMEX60DD043225,CD34 | AMEX60DD008964,Nepn,Crhbp,Sez6,Csrp1,Ndufa13,ENSMUSG00000059412,Arc
29,CHGB,STMN2,LMO3,HPCAL1,STMN2,CHGB,CHGA,CHGA,CLIC4,FKBP1A,TMEM144,LINC00844,COMMD3,Clstn1,PECAM1,RPS29 | AMEX60DD011733,NSG2 | AMEX60DD028745,Itga4,Ndufs2,Pde10a,Pde10a,Rps27,ENSMUSG00000040808,Mpped1
30,CYP46A1,SCGB1D2,PSD3,THY1,MAPRE2,KIF3A,PPP1R14A,PPP1R14A,LINC00844,CLTC,BACE1,TMEM144,LAMB3,Cbln1,ZFP36L1,AMEX60DD025672,LAMA2 | AMEX60DD034687,Cdx4,Apod,Fth1,Fth1,Rps21,ENSMUSG00000019987,Nsmf
31,APBB1,PIN1,CHGB,BASP1,NDFIP2,SST,PPP2R2B,CHGB,TMEM144,TMEM130,GABBR2,BACE1,APOLD1,Apoe,EEF1A1,RPL27A | AMEX60DD004756,AEBP1 | AMEX60DD001362,Cdh2,Aldoc,Csrp1,Mal,Cox8a,ENSMUSG00000024803,Ctgf
32,KIF3A,RPN1,DNAJB6,PPIA,SCGB1D2,CALM1,RALYL,TERF2IP,SERPINF1,GSK3B,SOX10,SERPINF1,ERP27,Cst3,PRSS3,nan | AMEX60DD000274,CD53 | AMEX60DD008686,Ets1,Pcp4,Mal,Mag,Dbi,ENSMUSG00000042712,Desi1
33,COL1A2,YWHAZ,APBB1,RTN3,TMX4,GAP43,CHGB,DNAJB6,GABBR2,MVB12B,MYCBP2,GABBR2,EPB41L4A-AS1,Gpm6a,ACOX1,RPL39 | AMEX60DD037237,SOSTDC1 | AMEX60DD022450,Shisa2,Slc1a2,Mag,Car2,Ndrg2,ENSMUSG00000032231,Plcb1
34,SST,EIF1B,KIF3A,SERPINI1,CAP2,STMN2,NUDT21,APBB1,ATP6V1H,GABRA2,GABRB3,MYCBP2,ARHGAP40,Apod,TNS4,CLU | AMEX60DD032706,ILDR1 | AMEX60DD047065,Ramp2,Fosl2,Car2,Ncdn,Rpl36,ENSMUSG00000051747,Mgst1
35,CALM1,RTN4R,COL1A2,ATP6V1G2,EIF1B,NDFIP2,TERF2IP,KIF3A,FAM19A2,SPOCK3,RBM26,YARS,PYGL,Pgrmc1,HLA-DRA,RPL34 | AMEX60DD044507,KCNA4 | AMEX60DD004929,Perp,Mt2,Ddn,Slc17a7,Rpl41,ENSMUSG00000022742,Epha4
36,GAP43,HPCAL1,SST,GOT1,YWHAZ,CCT4,APBB1,ARHGAP32,SOX10,VPS4B,MARCKSL1,MARCKSL1,ALB,Bex3,SEL1L,FTH1[hs] | AMEX60DD016343,PIDD1 | AMEX60DD004419,Fgfr2,Phactr1,Slc17a7,Scd2,Rpl37,ENSMUSG00000000805,Rasgef1a
37,STMN2,THY1,CALM1,COL1A1,RTN4R,GRIN2A,MAPRE3,SST,HS6ST1,TSPAN7,CDKN1C,GLRB,LINC00052,Snap25,SMU1,RPL13 | AMEX60DD017083,SLC4A10 | AMEX60DD055778,Six3,Fgf12,Sirt2,Plekhb1,Rps26,ENSMUSG00000026414,Necab3
38,CELF2,BASP1,GAP43,PRKAR1A,IGHG4,SCGB1D2,KIF3A,CALM1,GABRB3,LY6H,GLRB,MLLT11,ASCL1,Pcp4,CHCHD2,RPL10A | AMEX60DD008783,DR999_PMT11393[nr]|FGFBP1[hs] | AMEX60DD045830,Acp5,Arl4d,Psd,Npy,Rpl39,ENSMUSG00000034248,Sncg
39,SCGB1D2,RTN3,STMN2,MOAP1,HPCAL1,CAP2,COL1A2,GAP43,MARCKSL1,RASSF2,MLLT11,HTR2A,RARRES1,Tmem59l,ITIH5,GLUD1 | AMEX60DD051983,PDLIM1 | AMEX60DD051755,Arhgdib,Etv1,Plekhb1,Gad2,Rpl11,ENSMUSG00000001657,Rprm
40,CAP2,KIFAP3,SCGB1D2,RAD23B,NUPR1,YWHAZ,SST,STMN2,HNRNPH1,SYT7,HTR2A,PPP1R14A,TC2N,Hbb-bt,KLK1,SCGN | AMEX60DD038981,WDR11 | AMEX60DD053278,Nanog,Nell1,Synpr,Nptxr,Cmss1,ENSMUSG00000032060,Trh
41,YWHAZ,SERPINI1,PIN1,CABP1,THY1,IGHG4,KCNC1,SCGB1D2,CDKN1C,CLIC4,PPP1R14A,CHGA,AEBP1,Tsc22d4,BEX4,RPL35A | AMEX60DD003014,HSPG2 | AMEX60DD052146,Evx1,Fmnl1,Gad2,Ppp3ca,Cdk8,ENSMUSG00000068220,Crym
42,IGHG4,GOT1,CAP2,SNCG,BASP1,HPCAL1,CALM1,CAP2,MLLT11,LINC00844,CHGA,CHGB,CDON,Slc1a2,VCAM1,ATP2B1[hs] | AMEX60DD006353,FOXD2[nr]|FOXD1[hs] | AMEX60DD019707,Fst,Cbln2,Nptxr,Malat1,Rpl32,ENSMUSG00000061808,Hlf
43,HPCAL1,COL1A1,YWHAZ,EIF3M,PPIA,THY1,GAP43,EPB41L4A-AS1,HTR2A,TMEM144,JUN,CYP46A1,VAV3,Mt2,XBP1,VSNL1 | AMEX60DD033145,DMRT3 | AMEX60DD043121,Marcks,Aprt,Ppp3ca,Ppp1r1b,Camk1d,ENSMUSG00000006574,Stmn1
44,THY1,PRKAR1A,FAM19A5,PEG3,RTN3,BASP1,STMN2,YWHAZ,CTSH,GABBR2,SLC4A3,KIF3A,U62317.4,Ndrg4,CTRB1,CBLN2 | AMEX60DD039277,APH1A | AMEX60DD015106,Msx2,Rasgef1b,Malat1,Gatm,Fau,ENSMUSG00000061086,Ndrg4
45,BASP1,MOAP1,IGHG4,CDH13,KIFAP3,PPIA,SCGB1D2,FEM1B,EPB41L2,FAM19A2,CHGB,COL1A2,DNALI1,Gabbr2,FBLN1,AMEX60DD027994,FXYD1 | AMEX60DD016047,Podxl,Rit2,Ppp1r1b,Sepp1,Sparcl1,ENSMUSG00000020609,Lrrc17
46,PPIA,ITFG1,HPCAL1,KIF3C,SERPINI1,RTN3,TMX4,IGHG4,PPP1R14A,LZTS1,CLDN5,ARHGAP32,DDR1,Rtl8a,GTF2IRD2B,RPS11 | AMEX60DD016360,CBLN2 | AMEX60DD039277,Dnmt3b,Col6a1,Gatm,Arpp19,Gphn,ENSMUSG00000078350,Prkcd
47,RTN3,MIF,THY1,NLK,GOT1,SERPINI1,CAP2,HPCAL1,CHGA,SOX10,CHST1,KCNC1,RPL22L1,Vamp2,YBX3,RPS5 | AMEX60DD010348,CAV2 | AMEX60DD006318,Ttn,Pcsk2,Arpp19,Scn1b,Pcsk1n,ENSMUSG00000013936,Hpcal4
48,KIFAP3,CABP1,BASP1,HSPH1,SARAF,GLRX2,YWHAZ,THY1,JUN,MYCBP2,CYP46A1,SST,MZT1,Syn2,CPB1,SLC4A4 | AMEX60DD043658,CCK | AMEX60DD022038,Pax8,Chl1,Adi1,Chgb,,ENSMUSG00000064373,Slc30a3
49,SERPINI1,SNCG,PPIA,PLA2G16,COL1A1,GOT1,FEM1B,BASP1,CHGB,HS6ST1,KIF3A,MKL2,LINC02149,Hcrt,SERPINF1,UCHL1[hs] | AMEX60DD045638,SLC6A9 | AMEX60DD019839,Tet3,Mbp,Rpl37a,Arf3,,ENSMUSG00000030796,Slc17a6
50,ATP6V1G2,KIF3C,RTN3,VGF,DHCR24,SARAF,IGHG4,PLPP3,CLDN5,GABRB3,COL1A2,SPTAN1,NR4A1,Camk2b,LAPTM4A,RPL31 | AMEX60DD047845,GPR182 | AMEX60DD029714,Hoxb6,Syn1,Ptgds,Ptgds,,ENSMUSG00000031974,Bcl11b
51,GOT1,ITPKA,SERPINI1,PMP22,MOAP1,MOAP1,NUPR1,SEZ6L2,UNC13A,MARCKSL1,KCNC1,LPAR1,TUSC8,Sub1,LYZ,PIDD1 | AMEX60DD004419,AARS1 | AMEX60DD015546,Hcn4,Gstm6,Pde1b,Pde1b,,ENSMUSG00000006356,Il33
52,SARAF,COPRS,ATP6V1G2,GPM6A,NAP1L5,7-Sep,HPCAL1,PPIA,CYP46A1,CDKN1C,SST,CALM1,CTNNA1,Sncb,COL6A3,RPS4X | AMEX60DD022526,PLTP | AMEX60DD027512,Klf1,Nptx1,Sparc,Sparc,,ENSMUSG00000067818,Efhd2
53,COL1A1,NCDN,GOT1,SCN1B,CABP1,NAP1L5,THY1,RTN3,SRRM4,GLRB,MKL2,GAP43,ADIPOR2,Pcsk2,GAS6,AMEX60DD054004,DES | AMEX60DD056342,Alas2,Egr4,Ywhaz,Ywhaz,,ENSMUSG00000046402,Slc17a7
54,MOAP1,NAP1L2,COL1A1,SLC44A1,SNCG,ITFG1,BASP1,KIFAP3,KIF3A,HTR2A,LPAR1,STMN2,ERO1A,Mbp,DUOX2,RBP4 | AMEX60DD052620,GPHB5 | AMEX60DD010992,Tjp2,Kif5a,Fbxl16,Fbxl16,,ENSMUSG00000041959,Agt
55,CABP1,VGF,MOAP1,PHYHIP,CAMK2D,SNCG,PPIA,SERPINI1,COL1A2,PPP1R14A,CALM1,CELF2,TYMS,Resp18,SIK1,P4HB[nr] | AMEX60DD031478,IQGAP1 | AMEX60DD003387,Irx3,Rnf13,Gm42418,Gm42418,,ENSMUSG00000040785,Vat1l
56,SNCG,PFKM,ITFG1,NORAD,TPPP3,CAMK2D,RTN3,GOT1,ARHGAP32,CHGA,MTX2,MYL9,CCNB2,Tuba4a,UBB,SLC1A3 | AMEX60DD041912,AMEX60DD032648,Samd3,Cux2,Trf,Sst,,ENSMUSG00000053093,Plcb4
57,RNPS1,GPM6A,MIF,CNR1,DNER,PEG3,KIFAP3,COL1A1,KCNC1,CHGB,GAP43,GRIN2A,GIMAP5,Tmem151a,AEN,ADCYAP1R1 | AMEX60DD021323,RPS17 | AMEX60DD003832,Kmt2b,Ptprz1,Tspan2,Trf,,ENSMUSG00000069171,Pacs2
58,PEG3,SCN1B,CABP1,FGF12,MGST3,CDH13,SERPINI1,DHCR24,SST,POU3F2,STMN2,SCGB1D2,GAR1,Syn1,ATP1B1,CCER2[nr]|CHGA[hs] | AMEX60DD024290,DCN | AMEX60DD007589,Dll1,Dusp6,Gad1,Gad1,,ENSMUSG00000002265,Ecel1
59,KIF3C,MEG3,SNCG,MALAT1,XPO1,MGST3,EIF4E,MOAP1,MKL2,CYP46A1,WNK2,PIN1,INPP4B,Celf4,APCS,VIM | AMEX60DD022108,FBN3[nr]|FBN2[hs] | AMEX60DD014606,Epor,Mat2b,Atp2b1,Atp2b1,,ENSMUSG00000032554,Camk2d
60,PARM1,NORAD,RNPS1,MPPED1,PARM1,PARM1,GOT1,VAT1L,LPAR1,COL1A2,GRIN2A,ETS2,HIST1H4H,Mdh1,GATM,AMEX60DD004520,RPS3[hs] | AMEX60DDU001001251,Rspo3,Htra1,Olfm1,Olfm1,,ENSMUSG00000021728,Gad1
61,NLK,CNR1,CCND2,ZEB2,ITPKA,HSPH1,SARAF,NAP1L5,CALM1,ARHGAP32,SCGB1D2,CAP2,PSMA2,Mog,C1QB,RPS15A | AMEX60DD025833,H355_001130[nr]|GAD2[hs] | AMEX60DD021875,Col1a1,Zdhhc24,Adcy1,Adcy1,,ENSMUSG00000063870,Stxbp1
62,ITPKA,MALAT1,CDH13,TUBB,HSPH1,RAB3C,COL1A1,ITFG1,SMIM10L2A,KCNC1,PIN1,YWHAZ,LMNB1,Ptprn,MT1X,AMEX60DDU001001926,SULT6B1.5.S[nr]|SULT6B1[hs] | AMEX60DD043622,Cavin3,Arpc2,Lrrc17,Lrrc17,,ENSMUSG00000031972,Lef1
63,HSPH1,MPPED1,KIAA1549L,FLOT1,RAB3C,NAP1L2,DHCR24,MIF,GAP43,SST,TMX4,RTN4R,TREM2,Kif5a,CPA5,LOC107084780[nr]|RPL19[hs] | AMEX60DD010282,AXL | AMEX60DD024484,Tbx6,Pvalb,Qk,Stmn3,,ENSMUSG00000031883,Csrp1
64,BHLHE40,MARCKS,KIF3C,MDH1,NAP1L2,TAC1,MOAP1,C3orf14,STMN2,MKL2,ETS2,CUL2,DERL3,Rnf13,HLA-DPA1,RPL15 | AMEX60DD032684,AMEX60DD055997,Tbx1,Ccdc109b,Cryab,Cryab,,ENSMUSG00000010760,Slc4a2
65,RAB3C,TUBB,PARM1,BTBD8,VGF,VGF,7-Sep,CABP1,GRIN2A,LPAR1,RDX,IGHG4,ST8SIA6-AS1,Ugt8a,NELFCD,SELENOP | AMEX60DD041991,CCDC80 | AMEX60DD047580,Fgfr4,Dnaja2,Cldn11,Cldn11,,ENSMUSG00000000031,Nell2
66,NCDN,MDH1,NLK,PPP3R1,CADM2,CADM2,VAT1L,SNCG,SCGB1D2,TRIM23,CAP2,HPCAL1,PMP22,Prkar1b,S100P,LOC113480136[nr]|RPL36A[hs] | AMEX60DDU001009570,nan | AMEX60DD026396,Hes7,Rasgrf1,Gria2,Gria2,,ENSMUSG00000031434,Pcp4
67,NAP1L2,CKB,BHLHE40,PRRT2,GPM6A,GPM6A,NAP1L5,CAMK2D,PIN1,CALM1,YWHAZ,THY1,CD36,Gna12,DEFB1,UBA52 | AMEX60DD047583,LOC106702273[nr] | AMEX60DD006662,Cpn1,Mobp,Chn1,Chn1,,ENSMUSG00000030688,Celf5
68,VGF,PLP1,NCDN,CLSTN3,SCN1B,SCN1B,ITFG1,PEG3,TMX4,DCN,RTN4R,BASP1,NDUFA1,Efnb3,CCL2,DKK3 | AMEX60DD004826,LOC115076112[nr]|PINLYP[hs] | AMEX60DD017957,Afp,Grik1,Enc1,Ndrg1,,ENSMUSG00000059741,Sepw1
69,DPP6,SPTBN1,CNDP1,ENPP2,MEG3,LSM4,MIF,CDH13,RHBDD2,SEZ6,CUL2,PPIA,CDCA8,Gabra1,TMEM50B,TPD52L1 | AMEX60DD034735,TNC | AMEX60DD050822,Meis1,Kcnc2,Itpr1,Enc1,,ENSMUSG00000051627,Otud7b
70,PFKM,VDAC1,NAP1L2,PLP1,DYNLT3,MEG3,LYSMD2,PARM1,CAP2,GAP43,FAM19A5,TCAF1,PTPN7,Pvalb,MGP,RPL12 | AMEX60DD050974,PCDH18 | AMEX60DD044712,Hoxd9,Prdx6,Nnat,Pgm2l1,,ENSMUSG00000026605,Ywhah
71,GPM6A,RBFOX1,PLA2G16,OLIG1,NEAT1,CMPK1,SNCG,NLK,YWHAZ,STMN2,IGHG4,RTN3,KRT6B,Klc1,CELA2A,AMEX60DD035705,AMEX60DD030014,Apoa4,St3gal5,Cplx1,Itpr1,,ENSMUSG00000030470,Syngr3
72,SCN1B,SCRG1,NRXN3,SPTBN1,NORAD,NORAD,CAMK2D,ITPKA,RTN4R,MYL9,HPCAL1,KIFAP3,CELSR3,Syt1,SEL1L3,SST | AMEX60DD003175,PLA2R1 | AMEX60DD055796,Tfap2c,Ptgs2,Hpcal4,Nnat,,ENSMUSG00000020469,Olfm1
73,MEG3,SYT1,VGF,VDAC1,PCDH9,MALAT1,DNER,CAB39,CUL2,GFRA2,THY1,SERPINI1,PRC1,Calm2,PRDM16,H355_001130[nr]|GAD2[hs] | AMEX60DD021875,MYL4 | AMEX60DD009714,Hoxb3,Herc3,Slc6a11,Cplx1,,ENSMUSG00000031765,Gatm
74,KCNA2,NECAB1,PFKM,ATL1,MALAT1,MPPED1,PEG3,RAB3C,FAM19A5,GRIN2A,BASP1,GOT1,GBP4,Pcsk1n,PALM,TAC1 | AMEX60DD022344,ITM2A | AMEX60DD037575,Gata5,Spon1,Nsmf,Nsmf,,ENSMUSG00000032291,Syndig1l
